Date,Home Team,Score,Away Team
2023-09-30,West Ham,2,Sheffield Utd,0
2023-09-30,Manchester Utd,0,Crystal Palace,1
2023-09-30,Tottenham,2,Liverpool,1
2023-10-01,Nott'ham Forest,1,Brentford,1
2023-10-02,Fulham,0,Chelsea,2
2023-10-03,Luton Town,1,Burnley,2
2023-10-07,Luton Town,0,Tottenham,1
2023-10-07,Everton,3,Bournemouth,0
2023-10-07,Manchester Utd,2,Brentford,1
2023-10-07,Burnley,1,Chelsea,4
2023-10-07,Fulham,3,Sheffield Utd,1
2023-10-07,Crystal Palace,0,Nott'ham Forest,0
2023-10-08,West Ham,2,Newcastle Utd,2
2023-10-08,Wolves,1,Aston Villa,1
2023-10-08,Brighton,2,Liverpool,2
2023-10-08,Arsenal,1,Manchester City,0
2023-10-21,Liverpool,2,Everton,0
2023-10-21,Bournemouth,1,Wolves,2
2023-10-21,Newcastle Utd,4,Crystal Palace,0
2023-10-21,Brentford,3,Burnley,0
2023-10-21,Manchester City,2,Brighton,1
2023-10-21,Nott'ham Forest,2,Luton Town,2
2023-10-21,Chelsea,2,Arsenal,2
2023-10-21,Sheffield Utd,1,Manchester Utd,2
2023-10-22,Aston Villa,4,West Ham,1
2023-10-23,Tottenham,2,Fulham,0
2023-10-27,Crystal Palace,1,Tottenham,2
2023-10-28,Chelsea,0,Brentford,2
2023-10-28,Bournemouth,2,Burnley,1
2023-10-28,Arsenal,5,Sheffield Utd,0
2023-10-28,Wolves,2,Newcastle Utd,2
2023-10-29,West Ham,0,Everton,1
2023-10-29,Liverpool,3,Nott'ham Forest,0
2023-10-29,Brighton,1,Fulham,1
2023-10-29,Aston Villa,3,Luton Town,1
2023-10-29,Manchester Utd,0,Manchester City,3
2023-11-04,Fulham,0,Manchester Utd,1
2023-11-04,Brentford,3,West Ham,2
2023-11-04,Everton,1,Brighton,1
2023-11-04,Burnley,0,Crystal Palace,2
2023-11-04,Manchester City,6,Bournemouth,1
2023-11-04,Sheffield Utd,2,Wolves,1
2023-11-04,Newcastle Utd,1,Arsenal,0
2023-11-05,Nott'ham Forest,2,Aston Villa,0
2023-11-05,Luton Town,1,Liverpool,1
2023-11-06,Tottenham,1,Chelsea,4
2023-11-11,Wolves,2,Tottenham,1
2023-11-11,Arsenal,3,Burnley,1
2023-11-11,Manchester Utd,1,Luton Town,0
2023-11-11,Crystal Palace,2,Everton,3
2023-11-11,Bournemouth,2,Newcastle Utd,0
2023-11-12,West Ham,3,Nott'ham Forest,2
2023-11-12,Liverpool,3,Brentford,0
2023-11-12,Aston Villa,3,Fulham,1
2023-11-12,Brighton,1,Sheffield Utd,1
2023-11-12,Chelsea,4,Manchester City,4
2023-11-25,Manchester City,1,Liverpool,1
2023-11-25,Burnley,1,West Ham,2
2023-11-25,Nott'ham Forest,2,Brighton,3
2023-11-25,Sheffield Utd,1,Bournemouth,3
2023-11-25,Newcastle Utd,4,Chelsea,1
2023-11-25,Luton Town,2,Crystal Palace,1
2023-11-25,Brentford,0,Arsenal,1
2023-11-26,Tottenham,1,Aston Villa,2
2023-11-26,Everton,0,Manchester Utd,3
2023-11-27,Fulham,3,Wolves,2
2023-12-02,Brentford,3,Luton Town,1
2023-12-02,Arsenal,2,Wolves,1
2023-12-02,Burnley,5,Sheffield Utd,0
2023-12-02,Nott'ham Forest,0,Everton,1
2023-12-02,Newcastle Utd,1,Manchester Utd,0
2023-12-03,Bournemouth,2,Aston Villa,2
2023-12-03,Liverpool,4,Fulham,3
2023-12-03,Chelsea,3,Brighton,2
2023-12-03,West Ham,1,Crystal Palace,1
2023-12-03,Manchester City,3,Tottenham,3
2023-12-05,Wolves,1,Burnley,0
2023-12-05,Luton Town,3,Arsenal,4
2023-12-06,Sheffield Utd,0,Liverpool,2
2023-12-06,Crystal Palace,0,Bournemouth,2
2023-12-06,Brighton,2,Brentford,1
2023-12-06,Fulham,5,Nott'ham Forest,0
2023-12-06,Aston Villa,1,Manchester City,0
2023-12-06,Manchester Utd,2,Chelsea,1
2023-12-07,Everton,3,Newcastle Utd,0
2023-12-07,Tottenham,1,West Ham,2
2023-12-09,Crystal Palace,1,Liverpool,2
2023-12-09,Manchester Utd,0,Bournemouth,3
2023-12-09,Wolves,1,Nott'ham Forest,1
2023-12-09,Brighton,1,Burnley,1
2023-12-09,Sheffield Utd,1,Brentford,0
2023-12-09,Aston Villa,1,Arsenal,0
2023-12-10,Everton,2,Chelsea,0
2023-12-10,Fulham,5,West Ham,0
2023-12-10,Luton Town,1,Manchester City,2
2023-12-10,Tottenham,4,Newcastle Utd,1
2023-12-15,Nott'ham Forest,0,Tottenham,2
2023-12-16,Manchester City,2,Crystal Palace,2
2023-12-16,Chelsea,2,Sheffield Utd,0
2023-12-16,Newcastle Utd,3,Fulham,0
2023-12-16,Burnley,0,Everton,2
2023-12-17,Brentford,1,Aston Villa,2
2023-12-17,West Ham,3,Wolves,0
2023-12-17,Arsenal,2,Brighton,0
2023-12-17,Liverpool,0,Manchester Utd,0
2023-12-21,Crystal Palace,1,Brighton,1
2023-12-22,Aston Villa,1,Sheffield Utd,1
2023-12-23,West Ham,2,Manchester Utd,0
2023-12-23,Luton Town,1,Newcastle Utd,0
2023-12-23,Fulham,0,Burnley,2
2023-12-23,Tottenham,2,Everton,1
2023-12-23,Nott'ham Forest,2,Bournemouth,3
2023-12-23,Liverpool,1,Arsenal,1
2023-12-24,Wolves,2,Chelsea,1
2023-12-26,Newcastle Utd,1,Nott'ham Forest,3
2023-12-26,Bournemouth,3,Fulham,0
2023-12-26,Sheffield Utd,2,Luton Town,3
2023-12-26,Burnley,0,Liverpool,2
2023-12-26,Manchester Utd,3,Aston Villa,2
2023-12-27,Chelsea,2,Crystal Palace,1
2023-12-27,Brentford,1,Wolves,4
2023-12-27,Everton,1,Manchester City,3
2023-12-28,Brighton,4,Tottenham,2
2023-12-28,Arsenal,0,West Ham,2
2023-12-30,Luton Town,2,Chelsea,3
2023-12-30,Aston Villa,3,Burnley,2
2023-12-30,Wolves,3,Everton,0
2023-12-30,Manchester City,2,Sheffield Utd,0
2023-12-30,Crystal Palace,3,Brentford,1
2023-12-30,Nott'ham Forest,2,Manchester Utd,1
2023-12-31,Tottenham,3,Bournemouth,1
2023-12-31,Fulham,2,Arsenal,1
2024-01-01,Liverpool,4,Newcastle Utd,2
2024-01-02,West Ham,0,Brighton,0
2024-01-12,Burnley,1,Luton Town,1
2024-01-13,Chelsea,1,Fulham,0
2024-01-13,Newcastle Utd,2,Manchester City,3
2024-01-14,Everton,0,Aston Villa,0
2024-01-14,Manchester Utd,2,Tottenham,2
2024-01-20,Arsenal,5,Crystal Palace,0
2024-01-20,Brentford,3,Nott'ham Forest,2
2024-01-21,Sheffield Utd,2,West Ham,2
2024-01-21,Bournemouth,0,Liverpool,4
2024-01-22,Brighton,0,Wolves,0
2024-01-30,Nott'ham Forest,1,Arsenal,2
2024-01-30,Fulham,0,Everton,0
2024-01-30,Luton Town,4,Brighton,0
2024-01-30,Crystal Palace,3,Sheffield Utd,2
2024-01-30,Aston Villa,1,Newcastle Utd,3
2024-01-31,Tottenham,3,Brentford,2
2024-01-31,Manchester City,3,Burnley,1
2024-01-31,Liverpool,4,Chelsea,1
2024-02-01,West Ham,1,Bournemouth,1
2024-02-01,Wolves,3,Manchester Utd,4
2024-02-03,Everton,2,Tottenham,2
2024-02-03,Newcastle Utd,4,Luton Town,4
2024-02-03,Brighton,4,Crystal Palace,1
2024-02-03,Burnley,2,Fulham,2
2024-02-03,Sheffield Utd,0,Aston Villa,5
2024-02-04,Bournemouth,1,Nott'ham Forest,1
2024-02-04,Manchester Utd,3,West Ham,0
2024-02-04,Chelsea,2,Wolves,4
2024-02-04,Arsenal,3,Liverpool,1
2024-02-05,Brentford,1,Manchester City,3
2024-02-10,Manchester City,2,Everton,0
2024-02-10,Luton Town,1,Sheffield Utd,3
2024-02-10,Liverpool,3,Burnley,1
2024-02-10,Wolves,0,Brentford,2
2024-02-10,Fulham,3,Bournemouth,1
2024-02-10,Tottenham,2,Brighton,1
2024-02-10,Nott'ham Forest,2,Newcastle Utd,3
2024-02-11,West Ham,0,Arsenal,6
2024-02-11,Aston Villa,1,Manchester Utd,2
2024-02-12,Crystal Palace,1,Chelsea,3
2024-02-17,Brentford,1,Liverpool,4
2024-02-17,Newcastle Utd,2,Bournemouth,2
2024-02-17,Tottenham,1,Wolves,2
2024-02-17,Burnley,0,Arsenal,5
2024-02-17,Fulham,1,Aston Villa,2
2024-02-17,Nott'ham Forest,2,West Ham,0
2024-02-17,Manchester City,1,Chelsea,1
2024-02-18,Sheffield Utd,0,Brighton,5
2024-02-18,Luton Town,1,Manchester Utd,2
2024-02-19,Everton,1,Crystal Palace,1
2024-02-20,Manchester City,1,Brentford,0
2024-02-21,Liverpool,4,Luton Town,1
2024-02-24,Manchester Utd,1,Fulham,2
2024-02-24,Crystal Palace,3,Burnley,0
2024-02-24,Brighton,1,Everton,1
2024-02-24,Aston Villa,4,Nott'ham Forest,2
2024-02-24,Bournemouth,0,Manchester City,1
2024-02-24,Arsenal,4,Newcastle Utd,1
2024-02-25,Wolves,1,Sheffield Utd,0
2024-02-26,West Ham,4,Brentford,2
2024-03-02,Fulham,3,Brighton,0
2024-03-02,Tottenham,3,Crystal Palace,1
2024-03-02,Brentford,2,Chelsea,2
2024-03-02,Newcastle Utd,3,Wolves,0
2024-03-02,Nott'ham Forest,0,Liverpool,1
2024-03-02,Everton,1,West Ham,3
2024-03-02,Luton Town,2,Aston Villa,3
2024-03-03,Burnley,0,Bournemouth,2
2024-03-03,Manchester City,3,Manchester Utd,1
2024-03-04,Sheffield Utd,0,Arsenal,6
2024-03-09,Manchester Utd,2,Everton,0
2024-03-09,Bournemouth,2,Sheffield Utd,2
2024-03-09,Wolves,2,Fulham,1
2024-03-09,Crystal Palace,1,Luton Town,1
2024-03-09,Arsenal,2,Brentford,1
2024-03-10,Aston Villa,0,Tottenham,4
2024-03-10,West Ham,2,Burnley,2
2024-03-10,Brighton,1,Nott'ham Forest,0
2024-03-10,Liverpool,1,Manchester City,1
2024-03-11,Chelsea,3,Newcastle Utd,2
2024-03-13,Bournemouth,4,Luton Town,3
2024-03-16,Luton Town,1,Nott'ham Forest,1
2024-03-16,Burnley,2,Brentford,1
2024-03-16,Fulham,3,Tottenham,0
2024-03-17,West Ham,1,Aston Villa,1
2024-03-30,Newcastle Utd,4,West Ham,3
2024-03-30,Bournemouth,2,Everton,1
2024-03-30,Tottenham,2,Luton Town,1
2024-03-30,Nott'ham Forest,1,Crystal Palace,1
2024-03-30,Sheffield Utd,3,Fulham,3
2024-03-30,Chelsea,2,Burnley,2
2024-03-30,Aston Villa,2,Wolves,0
2024-03-30,Brentford,1,Manchester Utd,1
2024-03-31,Liverpool,2,Brighton,1
2024-03-31,Manchester City,0,Arsenal,0
2024-04-02,Newcastle Utd,1,Everton,1
2024-04-02,Nott'ham Forest,3,Fulham,1
2024-04-02,Bournemouth,1,Crystal Palace,0
2024-04-02,Burnley,1,Wolves,1
2024-04-02,West Ham,1,Tottenham,1
2024-04-03,Arsenal,2,Luton Town,0
2024-04-03,Brentford,0,Brighton,0
2024-04-03,Manchester City,4,Aston Villa,1
2024-04-04,Liverpool,3,Sheffield Utd,1
2024-04-04,Chelsea,4,Manchester Utd,3
2024-04-06,Crystal Palace,2,Manchester City,4
2024-04-06,Luton Town,2,Bournemouth,1
2024-04-06,Wolves,1,West Ham,2
2024-04-06,Fulham,0,Newcastle Utd,1
2024-04-06,Everton,1,Burnley,0
2024-04-06,Aston Villa,3,Brentford,3
2024-04-06,Brighton,0,Arsenal,3
2024-04-07,Manchester Utd,2,Liverpool,2
2024-04-07,Sheffield Utd,2,Chelsea,2
2024-04-07,Tottenham,3,Nott'ham Forest,1
2024-04-13,Newcastle Utd,4,Tottenham,0
2024-04-13,Manchester City,5,Luton Town,1
2024-04-13,Nott'ham Forest,2,Wolves,2
2024-04-13,Brentford,2,Sheffield Utd,0
2024-04-13,Burnley,1,Brighton,1
2024-04-13,Bournemouth,2,Manchester Utd,2
2024-04-14,Liverpool,0,Crystal Palace,1
2024-04-14,West Ham,0,Fulham,2
2024-04-14,Arsenal,0,Aston Villa,2
2024-04-15,Chelsea,6,Everton,0
2024-04-20,Luton Town,1,Brentford,5
2024-04-20,Sheffield Utd,1,Burnley,4
2024-04-20,Wolves,0,Arsenal,2
2024-04-21,Everton,2,Nott'ham Forest,0
2024-04-21,Aston Villa,3,Bournemouth,1
2024-04-21,Crystal Palace,5,West Ham,2
2024-04-21,Fulham,1,Liverpool,3
2024-04-23,Arsenal,5,Chelsea,0
2024-04-24,Wolves,0,Bournemouth,1
2024-04-24,Manchester Utd,4,Sheffield Utd,2
2024-04-24,Everton,2,Liverpool,0
2024-04-24,Crystal Palace,2,Newcastle Utd,0
2024-04-25,Brighton,0,Manchester City,4
2024-04-27,West Ham,2,Liverpool,2
2024-04-27,Wolves,2,Luton Town,1
2024-04-27,Fulham,1,Crystal Palace,1
2024-04-27,Manchester Utd,1,Burnley,1
2024-04-27,Newcastle Utd,5,Sheffield Utd,1
2024-04-27,Everton,1,Brentford,0
2024-04-27,Aston Villa,2,Chelsea,2
2024-04-28,Tottenham,2,Arsenal,3
2024-04-28,Bournemouth,3,Brighton,0
2024-04-28,Nott'ham Forest,0,Manchester City,2
